Angola,Botswana,Burkina Faso,Central African Republic,Chad,Djibouti,"Egypt, Arab Rep.",Ethiopia,Gabon,Ghana,Kenya,Lesotho,Liberia,Madagascar,Malawi,Mauritania,Mozambique,Nigeria,Rwanda,Samoa,Sao Tome and Principe,Senegal,Sierra Leone,Somalia,Sudan,Tanzania,Togo,Tunisia,Uganda,Zambia,Zimbabwe
8182768.0,807901.0,9762505.0,2344256.0,6472108.0,174140.0,40826565.0,57151370.0,268857.0,11026644.0,24714605.0,1607938.0,1611742.0,11818373.0,9588774.0,1668449.0,12598225.0,80050353.0,6899492.0,143569.0,66936.0,5791518.0,2950947.0,5821840.0,17752987.0,26775196.0,3360041.0,3617788.0,20468997.0,6448823.0,7839526.0
8254958.0,809395.0,9978658.0,2394525.0,6688445.0,179293.0,41641310.0,58716476.0,266113.0,11188148.0,25364272.0,1598239.0,1649656.0,12132721.0,9808722.0,1695317.0,12886237.0,81155279.0,6922173.0,144587.0,66727.0,5916704.0,3115001.0,6021434.0,18176461.0,27384592.0,3429118.0,3616435.0,20999052.0,6624573.0,7840997.0
8326997.0,815528.0,10199547.0,2444784.0,6920266.0,184467.0,42487020.0,60328366.0,263402.0,11359994.0,26030130.0,1586102.0,1682809.0,12450597.0,10042042.0,1707695.0,13187976.0,82274855.0,6967684.0,145682.0,66597.0,6046772.0,3284070.0,6212269.0,18582119.0,27976223.0,3495903.0,3613651.0,21553414.0,6780477.0,7839755.0
8401539.0,821559.0,10424994.0,2501313.0,7197536.0,188136.0,43348470.0,61966689.0,260752.0,11528389.0,26693585.0,1571763.0,1685708.0,12772847.0,10289880.0,1719875.0,13500376.0,83391568.0,7119659.0,146769.0,66477.0,6167001.0,3405745.0,6366693.0,18984148.0,28519007.0,3563495.0,3610134.0,22121902.0,6941613.0,7912203.0
8479480.0,827516.0,10654996.0,2552785.0,7520836.0,190550.0,44202513.0,63626355.0,258226.0,11691469.0,27377696.0,1554774.0,1695301.0,13102048.0,10554109.0,1731732.0,13821932.0,84499321.0,7305326.0,147718.0,66277.0,6279490.0,3508352.0,6522557.0,19401615.0,29068723.0,3632752.0,3607425.0,22665080.0,7112237.0,7990428.0
8558422.0,833895.0,10887626.0,2606573.0,7823819.0,193084.0,45051576.0,65307159.0,255912.0,11854093.0,28074038.0,1537467.0,1762146.0,13377395.0,10835413.0,1743825.0,14147982.0,85595377.0,7499771.0,148603.0,66022.0,6396339.0,3585104.0,6666514.0,19863084.0,29640760.0,3701972.0,3611300.0,23206847.0,7296161.0,8054890.0
8717389.0,840915.0,11118137.0,2654210.0,8102386.0,196432.0,45900052.0,67020970.0,253823.0,12014037.0,28785081.0,1525679.0,1852231.0,13656474.0,11131671.0,1756362.0,14477448.0,86680126.0,7701849.0,149645.0,65713.0,6518798.0,3642554.0,6783748.0,20379811.0,30227652.0,3780132.0,3614311.0,23759492.0,7494800.0,8147248.0
8881597.0,827547.0,11363537.0,2698020.0,8377884.0,200267.0,46800560.0,68781680.0,251962.0,12169718.0,29508944.0,1521238.0,1934725.0,13938903.0,11439429.0,1769433.0,14818898.0,87761889.0,7911753.0,150954.0,65356.0,6645177.0,3700752.0,7293024.0,20939875.0,30819731.0,3863409.0,3617543.0,24326365.0,7704044.0,8249373.0
9049269.0,814089.0,11621238.0,2747080.0,8667946.0,203955.0,47742896.0,70429747.0,250253.0,12320920.0,30252283.0,1520280.0,2002130.0,14222078.0,11760730.0,1785189.0,15110145.0,88835953.0,8126393.0,152425.0,64938.0,6773862.0,3771643.0,7323458.0,21509684.0,31391776.0,3945863.0,3621396.0,24900929.0,7921154.0,8338451.0
9220494.0,800400.0,11881653.0,2798337.0,8974567.0,207758.0,48702261.0,72085216.0,248775.0,12467646.0,31006755.0,1521082.0,2052307.0,14507231.0,12092750.0,1804646.0,15407703.0,89904757.0,8343332.0,153961.0,64441.0,6907386.0,3851931.0,7314265.0,22077570.0,31896316.0,4027422.0,3626182.0,25482464.0,8142545.0,8447543.0
9396374.0,786215.0,12146783.0,2847115.0,9279671.0,211425.0,49717297.0,73782698.0,247546.0,12605012.0,31731712.0,1521146.0,2097894.0,14790589.0,12430590.0,1826403.0,15729357.0,90970553.0,8563300.0,155586.0,63836.0,7045311.0,3935655.0,7298973.0,22575727.0,32428153.0,4105241.0,3632741.0,26072931.0,8364211.0,8577481.0
9575556.0,771134.0,12419447.0,2880145.0,9601178.0,214867.0,50844031.0,75534019.0,246519.0,12737660.0,32415926.0,1521941.0,2166128.0,15067128.0,12772398.0,1850477.0,16077251.0,92054100.0,8785411.0,157362.0,63136.0,7186286.0,4017156.0,7207934.0,22989899.0,33049142.0,4182017.0,3647574.0,26670552.0,8580744.0,8725322.0
9755929.0,766446.0,12704037.0,2893196.0,9930715.0,218171.0,52056284.0,77298928.0,245494.0,12872599.0,33067204.0,1526573.0,2227251.0,15335247.0,13117544.0,1876234.0,16444410.0,93123376.0,9003656.0,159244.0,62371.0,7330039.0,4097455.0,7270375.0,23435408.0,33692572.0,4256694.0,3663186.0,27273317.0,8794599.0,8909792.0
9935338.0,763364.0,12989920.0,2897641.0,10276300.0,221346.0,53325312.0,79050945.0,244322.0,13006395.0,33686548.0,1532620.0,2258594.0,15596906.0,13466259.0,1897456.0,16827754.0,94145930.0,9220004.0,161181.0,61599.0,7474978.0,4176408.0,7439404.0,23931299.0,34381013.0,4330465.0,3673157.0,27880935.0,9009203.0,9129035.0
10110460.0,760210.0,13275977.0,2881208.0,10632805.0,224384.0,54641528.0,80796875.0,242887.0,13134146.0,34272609.0,1539961.0,2286951.0,15853231.0,13819741.0,1913785.0,17217312.0,95103167.0,9439566.0,163123.0,60803.0,7622759.0,4253565.0,7628987.0,24537222.0,35110823.0,4403714.0,3683321.0,28522730.0,9225180.0,9352079.0
10281807.0,757133.0,13564948.0,2878250.0,10956591.0,227243.0,55912672.0,82563655.0,241028.0,13255803.0,34830333.0,1548469.0,2314467.0,16105131.0,14175692.0,1930136.0,17609169.0,95975881.0,9663190.0,165068.0,59987.0,7772149.0,4328224.0,7811705.0,25233439.0,35930359.0,4476464.0,3692017.0,29209851.0,9439084.0,9570861.0
10452268.0,754349.0,13852529.0,2912198.0,11283424.0,229947.0,57144318.0,84375675.0,238683.0,13373618.0,35391766.0,1558230.0,2341095.0,16357965.0,14532652.0,1946447.0,18023216.0,96818209.0,9895965.0,167146.0,59155.0,7922068.0,4404323.0,8030293.0,25941285.0,36812067.0,4548699.0,3698981.0,29981884.0,9651859.0,9785059.0
10621656.0,751776.0,14134437.0,2949077.0,11637553.0,232513.0,58320229.0,86222946.0,235937.0,13477013.0,35946533.0,1568705.0,2364883.0,16611902.0,14892509.0,1962529.0,18440146.0,97678669.0,10135893.0,169318.0,58317.0,8073041.0,4480934.0,8265845.0,26698171.0,37669090.0,4620428.0,3703832.0,30819206.0,9864042.0,9995789.0
10784991.0,749004.0,14405827.0,2987375.0,12006035.0,234941.0,59439309.0,88055633.0,233011.0,13564560.0,36450926.0,1579209.0,2388419.0,16862044.0,15256915.0,1978535.0,18834813.0,98511358.0,10374959.0,171445.0,57479.0,8224798.0,4555219.0,8480571.0,27449745.0,38469815.0,4691053.0,3705806.0,31645525.0,10073534.0,10204026.0
10942954.0,745611.0,14670338.0,3033389.0,12372693.0,237192.0,60487813.0,89898498.0,230087.0,13646945.0,36936235.0,1589485.0,2412132.0,17108814.0,15627061.0,1994344.0,19222873.0,99300013.0,10612900.0,173643.0,56658.0,8375929.0,4628214.0,8701179.0,28128529.0,39216539.0,4760552.0,3704682.0,32486255.0,10279833.0,10408889.0
11089900.0,741589.0,14935196.0,3088372.0,12729867.0,239158.0,61488326.0,91766343.0,227148.0,13725263.0,37432361.0,1599780.0,2437512.0,17348887.0,16000221.0,2009661.0,19619219.0,100084652.0,10854688.0,176480.0,56073.0,8526730.0,4699703.0,8906671.0,28773881.0,39967867.0,4829156.0,3701056.0,33323884.0,10480465.0,10617452.0
11227528.0,736148.0,15196430.0,3129787.0,13094226.0,240823.0,62430223.0,93611468.0,224215.0,13794798.0,37902724.0,1608881.0,2463081.0,17578693.0,16370252.0,2024451.0,20007111.0,100840661.0,11096904.0,179951.0,55614.0,8674634.0,4768441.0,9090664.0,29406434.0,40725784.0,4896604.0,3692618.0,34136762.0,10672830.0,10827136.0
11359649.0,730591.0,15446047.0,3173417.0,13458554.0,242328.0,63300985.0,95420799.0,221340.0,13853989.0,38358435.0,1615392.0,2488813.0,17801970.0,16736441.0,2040187.0,20379448.0,101575770.0,11335329.0,183207.0,55128.0,8816497.0,4833746.0,9269665.0,30020115.0,41471864.0,4962262.0,3680393.0,34889566.0,10857387.0,11033499.0
11486557.0,725903.0,15690102.0,3237862.0,13824812.0,243747.0,64135744.0,97227189.0,218584.0,13908804.0,38834893.0,1621552.0,2515915.0,18026828.0,17105427.0,2057093.0,20761112.0,102316764.0,11572862.0,186169.0,54716.0,8956364.0,4896638.0,9449071.0,30625231.0,42210185.0,5025764.0,3669694.0,35576357.0,11038749.0,11246318.0
