2000 Total Foreign Aid (USD millions),2023 Total Foreign Aid (USD millions)
1264.01997846365,377.16000937297935
134.08999948948622,305.79999480769044
1048.5800020284953,4415.510056577624
302.8199991434813,2166.0400224290806
489.7999939955776,2245.0499718226483
267.58000084012747,301.8399979285895
5949.45996084065,13496.160318633541
2687.640014201401,15778.120349835617
48.89000014215708,524.4699927642945
2266.5000360310073,3148.9800618514423
1898.8799621239302,8096.160116843889
164.11999895423642,491.4799935370687
247.00000154227067,1469.2700031008585
1140.6999951489277,3169.010064389554
1769.7999742627142,3966.9999758787503
866.0300075635319,945.3600191026921
3825.219986893236,7903.049912456423
590.0900101326406,12071.089923433961
1292.6499930098655,3365.210017438982
123.05000322684643,373.6299899667504
142.0100002363325,200.69999809190625
1781.4000023901456,4559.089940078558
723.8300125412634,1483.469988152385
440.3000036478052,6506.7599151842405
801.3599889837207,5566.060041941706
4272.149964392186,7737.519893910742
289.81999467313335,1207.2400003150108
1023.1300191767525,4884.600045338275
3445.7599450871353,6786.749930728239
3082.670058496299,5134.7798971161355
814.2600077651434,2620.199981797486
